Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luminous by Trixie Cruz-Angeles & Ahmed Paglinawan,noctilucouslogophile,406767742997013,LEGAL,PH,"Trixie Cruz-Angeles' and Ahmed Paglinawan's page for vocabulary, politics, culture, archaeology, philosophy and her dog. ",2018-04-13 15:21:47 SGT,283674,334754,2021-02-02 18:57:46 SGT,2021-02-02,18:57:46,Photo,"1,512",1352,24,99,29,1,6,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/406767742997013/posts/1455008521506258,"Hah! Once again Luminous was right. Former SC Justice Adolf Azcuna cautions the use of ""Unless otherwise provided by law"" and recommends review of their placements The former justice says that if placed at the end it may make reference to all previous clauses. The phrase can and SHOULD only be used for the flexible portions of the economic provisions (i.e. nationality requirements).and not for the permanently protected provisions (i.e. national parks and timber lands) Congress removed Sec. 7 of RBH2 which allows foreign ownership of land. If it adheres to J. Azcuna's admonition, we can minimize Congress' discretion. Ideally, the provisions should state that Congress can determine the nationality requirements for each industry. The senate, however is a different story. Source: https://www.congress.gov.ph/photojournal/zoom.php?photoid=2792",https://www.facebook.com/luciferouslogophile/photos/a.411894925817628/1455008321506278/?type=3,,"CRDE REPUBLIC OF THE PHILIPPINES HOUSE OF REPRESENTATIVES 18th Congress Second Regular Session Home Photo Journals PHOTO JOURNALS SOURCE: Press and Public Affairs Bureau LEGAL LUMINARY RECOMMENDS STRATEGIC PLACEMENT OF THE PHRASE ""UNLESS OTHERWISE PROVIDED BY LAW"" IN RBH #2 02 February 2021 06:03:13 PM Legal luminary Adolf Azcuna, Chancellor of the Philippine Justice Academy,",Photos from Luminous by Trixie Cruz-Angeles & Ahmed Paglinawan's post,,,,,-2.46
Jocelyn Tulfo,jocelyntulfoinaction,1030918943781434,POLITICIAN,PH,"•Born and raised in Cauayan City, Isabela
•Graduate of Bachelor of Science in Chemistry at Far Eastern University
•Chairperson of API (Alyansa para sa Pilipinong Inaapi)
•Ingat Yaman ng Raffy Tulfo in Action Foundation, Inc. 
•ACT-CIS Party list",2021-01-14 11:27:54 SGT,N/A,N/A,2019-09-03 09:07:10 SGT,2019-09-03,09:07:10,Link,884,636,78,27,137,6,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1030918943781434/posts/1163522537187740,Salamat sa House of Representatives sa napakagandang write-up ukol sa aking pahayag kahapon ng umaga. Aking lalong sisikapin maging inspirasyon sa lahat ng aking ka-trabaho at pati na din sa lahat ng aking pinagsisilbihan. Umpisa pa lamang ito ng aking termino kaya sana’y ipagpatuloy niyo lamang ang inyong suporta sa aking mga programa at pati na din sa aking ipinanukalang batas. Hinding-hindi ako mag sasawa sa pagtugon sa inyong problema at sa pagtulong sa may kailangan!,http://www.congress.gov.ph/photojournal/zoom.php?photoid=2102,,,House of Representatives,"Rep. Jocelyn Pua-Tulfo (Party-list, ACT CIS) was the guest speaker during the flag raising ceremony of the House of Representatives Secretariat on Monday. In her speech, Tulfo said that prior to her election as party-list representative in Congress, she was just a plain housewife and little did she....",,,,0
Noel Lopez Villanueva,cong.noelvillanueva,549202148491276,PUBLIC & GOVERNMENT SERVICE,PH,"Representative, Third District of Tarlac",2018-03-31 13:12:27 SGT,18435,18564,2019-09-19 23:20:08 SGT,2019-09-19,23:20:08,Photo,755,556,46,63,69,21,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/549202148491276/posts/2367243803353759,"Bilang mambabatas po, kasama sa aming trabaho ang pagpasa ng budget na ilalaan para sa mga ahensiya ng pamahalaan. Ngunit bago po ako naging isang mambabatas, ako po ay isang magsasaka muna at hanggang ngayon ay isa pa ring magsasaka. Kaya naman sa panukalang paglalaan ng P36.27 Billion na budget para sa National Irrigation Administration at P54.43 Billion naman para sa Department of Agriculture, siniguro at inusisa po nating mabuti na PARA SA IKABUBUTI AT KAPAKANAN NG BAWAT MAGSASAKANG PILIPINO ANG BUDGET NA ITO HANGGANG SA KAHULI-HULIHANG SENTIMO. Naniniwala po ako sa kasabihan na ""Ang tao, minsan sa kanyang buhay ay mangangailangan siya ng doktor para magpagamot o abogado para maipagtanggol ngunit kailangan niya ng isang magsasaka para makakain sa araw-araw."" --- The House of Representatives on Wednesday ended the plenary deliberations on the P54.43 billion proposed budget of the Department of Agriculture (DA) and its attached agencies, and the P36.27 billion budget of the National Irrigation Administration (NIA) for 2020. Rep. Luisa Lloren Cuaresma (Lone District, Nueva Vizcaya), a Vice Chairperson of the Committee on Appropriations, sponsored and defended the DA and NIA budgets. The deliberations took hours as 12 House Members interpellated Cuaresma about the various DA and NIA programs and projects. Deputy Speakers Evelina Escudero, Prospero Pichay Jr., Ferdinand Hernandez, and Conrado Estrella lll were the presiding officers during yesterday's session.--SOURCE: Press and Public Affairs Bureau http://www.congress.gov.ph/photojournal/zoom.php?photoid=2128&fbclid=IwAR2hG1WYU64w8LyK2rvrZzeJFdQhGs4aU2WvOqKiZtdcMql-1HwxE9rCF2o",https://www.facebook.com/cong.noelvillanueva/photos/a.589540054457485/2367230356688437/?type=3,,,,,,,,1.81
Luminous Group,,183566988950878,none,,,2020-03-21 23:00:49 SGT,53860,N/A,2021-02-02 18:57:48 SGT,2021-02-02,18:57:48,Photo,668,608,11,38,7,0,2,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/groups/183566988950878/permalink/694880567819515,"Hah! Once again Luminous was right. Former SC Justice Adolf Azcuna cautions the use of ""Unless otherwise provided by law"" and recommends review of their placements The former justice says that if placed at the end it may make reference to all previous clauses. The phrase can and SHOULD only be used for the flexible portions of the economic provisions (i.e. nationality requirements).and not for the permanently protected provisions (i.e. national parks and timber lands) Congress removed Sec. 7 of RBH2 which allows foreign ownership of land. If it adheres to J. Azcuna's admonition, we can minimize Congress' discretion. Ideally, the provisions should state that Congress can determine the nationality requirements for each industry. The senate, however is a different story. Source: https://www.congress.gov.ph/photojournal/zoom.php?photoid=2792",https://www.facebook.com/luciferouslogophile/photos/a.411894925817628/1455008321506278/?type=3,,,Photos from Luminous by Trixie Cruz-Angeles & Ahmed Paglinawan's post,,,,,-2.25
INC - Proud To Be One,INCproudToBeOne,257349937681195,COMMUNITY,PH,"""Don't be afraid, for I am with you. Don't be discouraged, for I am your God. I will strengthen you and help you. I will hold you up with my victorious right hand.""

Isaiah 41:10 (NLT)",2021-01-06 15:56:29 SGT,N/A,N/A,2017-08-14 10:47:30 SGT,2017-08-14,10:47:30,Photo,616,585,0,0,26,4,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/257349937681195/posts/1468801416536035,,https://www.facebook.com/photo.php?fbid=10210062059813380&set=p.10210062059813380&type=3,,,Mark Alvin,"INC anniversary bilang non-working holiday, pasado sa Kamara

INAPRUBAHAN na sa ikatlo at huling pagbasa ang panukalang batas na ibilang na special non-working holiday ang anibersaryo ng Iglesia ni Cristo (INC).

Batay sa House Bill 5686, tuwing anibersaryo ng Iglesia Ni Cristo na July 27 ay idedeklara itong non-working holiday.

Ang pagpapasa sa panukala ay isinagawa kaalinsabay ng ika-103 taong anibersaryo ng INC na inaprubahan ng may 242 kongresista.

Ang panukalang ito ay pinagsama-samang panukala nina Reps. Winston Castelo (PDP-Laban, Quezon City); Alfred Vargas (PDP-Laban, QC); Eugene de Vera (ABS Partylist); Gil P. Acosta (NP, Palawan); Gus Tambunting (PDP-Laban, Parañaque City) at Romeo Acop (LP, Antipolo City).

Sinabi ni Castelo na inaamyendahan ng HB 5686 ang Republic Act No. 9645 o mas kilala bilang Commemoration of the Founding Anniversary of Iglesia Ni Cristo Act, sa pamamagitan ng pagdedeklara ng July 27 bilang non-working holiday.

Paliwanag ni Castelo, chairman ng House Committee on Metro Manila Development, ito’y upang mabigyan ng pagkakataon ang mga Pilipino na miembro ng INC na maipagdiwang ang anibersaryo tuwing July 27.

Samantala, naipasa na sa Committee on Rules ang House Resolution 1163 na nagpapahatid ng pagbati sa ika-103 anibersaryo ng Iglesia Ni Cristo nitong nagdaang July 27, 2017 at ang House Resolution 1167 na nagpapahatid naman ng pagbati sa walong taong matagumpay na pangunguna ni Iglesia Ni Cristo Executive Minister Eduardo V. Manalo. 

Related :
http://www.congress.gov.ph/legisdocs/third_17/HBT5686.pdf:=:https://www.congress.gov.ph/legisdocs/third_17/HBT5686.pdf
http://www.congress.gov.ph/legisdocs/first_17/CR00250.pdf:=:https://www.congress.gov.ph/legisdocs/first_17/CR00250.pdf
http://www.congress.gov.ph/photojournal/zoom.php?photoid=1254&key=House%20Bill%205686:=:https://www.congress.gov.ph/photojournal/zoom.php?photoid=1254&key=House%2520Bill%25205686
http://www.abante-tonite.com/inc-anniv-idineklarang-holiday.htm:=:https://tonite.abante.com.ph/inc-anniv-idineklarang-holiday.htm",,,,-1.65
Chiz Escudero,officialchizescudero,51582615609,POLITICIAN,PH,Official Page of Governor Chiz Escudero,2015-08-25 12:54:47 SGT,N/A,N/A,2012-08-13 15:30:00 SGT,2012-08-13,15:30:00,Link,534,398,114,22,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/51582615609/posts/356238267785642,Sinigurado ni Congressman Sonny Escudero na dumalo sa mga sessions at hearings sa Kongreso kahit naka-wheelchair at mahina na ang pangangatawan. Maraming salamat po sa makabuluhang serbisyo publiko. Paalam Tatay Sonny.,http://www.congress.gov.ph/photojournal/zoom.php?photoid=689&key=dedication,,,House of Representatives - 15th Congress of the Philippines,description,,,,-2.48
KadBin Knows,KadBinKnows,1049904308440460,YOUTH ORGANIZATION,PH,Youth Organization,2021-01-14 11:32:10 SGT,N/A,N/A,2017-08-14 10:56:57 SGT,2017-08-14,10:56:57,Photo,508,309,6,94,85,14,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1049904308440460/posts/1330540293710192,"INC anniversary bilang non-working holiday, pasado sa Kamara INAPRUBAHAN na sa ikatlo at huling pagbasa ang panukalang batas na ibilang na special non-working holiday ang anibersaryo ng Iglesia ni Cristo (INC). Batay sa House Bill 5686, tuwing anibersaryo ng Iglesia Ni Cristo na July 27 ay idedeklara itong non-working holiday. Ang pagpapasa sa panukala ay isinagawa kaalinsabay ng ika-103 taong anibersaryo ng INC na inaprubahan ng may 242 kongresista. Ang panukalang ito ay pinagsama-samang panukala nina Reps. Winston Castelo (PDP-Laban, Quezon City); Alfred Vargas (PDP-Laban, QC); Eugene de Vera (ABS Partylist); Gil P. Acosta (NP, Palawan); Gus Tambunting (PDP-Laban, Parañaque City) at Romeo Acop (LP, Antipolo City). Sinabi ni Castelo na inaamyendahan ng HB 5686 ang Republic Act No. 9645 o mas kilala bilang Commemoration of the Founding Anniversary of Iglesia Ni Cristo Act, sa pamamagitan ng pagdedeklara ng July 27 bilang non-working holiday. Paliwanag ni Castelo, chairman ng House Committee on Metro Manila Development, ito’y upang mabigyan ng pagkakataon ang mga Pilipino na miembro ng INC na maipagdiwang ang anibersaryo tuwing July 27. Samantala, naipasa na sa Committee on Rules ang House Resolution 1163 na nagpapahatid ng pagbati sa ika-103 anibersaryo ng Iglesia Ni Cristo nitong nagdaang July 27, 2017 at ang House Resolution 1167 na nagpapahatid naman ng pagbati sa walong taong matagumpay na pangunguna ni Iglesia Ni Cristo Executive Minister Eduardo V. Manalo. Related : http://www.congress.gov.ph/legisdocs/third_17/HBT5686.pdf http://www.congress.gov.ph/legisdocs/first_17/CR00250.pdf http://www.congress.gov.ph/photojournal/zoom.php?photoid=1254&key=House%20Bill%205686 http://www.abante-tonite.com/inc-anniv-idineklarang-holiday.htm:=:https://tonite.abante.com.ph/inc-anniv-idineklarang-holiday.htm #KBKnows❤ -Admin Engks😇🇮🇹",https://www.facebook.com/KadBinKnows/photos/a.1061663197264571/1330540143710207/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FKadBinKnows%2Fphotos%2Fa.1061663197264571%2F1330540143710207%2F%3Ftype%3D3,,Photos from KadBin Knows's post,,,,,8.19
Henry S. Oaminal,theworkingcongressman,748641792170309,POLITICIAN,PH,"In the name of public service, let TRUTH be known.  ",2020-09-17 16:30:57 SGT,7892,8240,2020-10-06 05:56:54 SGT,2020-10-06,05:56:54,Photo,460,294,36,42,71,9,0,0,0,8,,-,0,0,0,N/A,https://www.facebook.com/748641792170309/posts/1291697584531391,"Magandang umaga, Pilipinas! Maayong buntag, Misamis Occidental! With the desire to finish the 2021 budget deliberations on time, the House of Representatives continued doing its job notwithstanding time. Our #WorkingCongressman, Deputy Speaker Henry S. Oaminal presided budget deliberations for the Department of Agriculture, the Department of National Defense, and the National Irrigation Administration that began around 5pm on Monday and ended at 1:30am Tuesday. For the Department of Agriculture’s P86.3-billion proposed budget interpellation focused on issues that the agriculture sector needs to address to achieve national food security especially during the health crisis. These issues include support for local products, government subsidies to farmers and fisherfolks, competition with importers, and farm-to-market roads. House of Representatives photojournal: https://bit.ly/2GHMKyW:=:http://www.congress.gov.ph/photojournal/zoom.php?photoid=2555 #parasabayan #AsensoSegundoDistrito",https://www.facebook.com/theworkingcongressman/photos/a.748947452139743/1291698764531273/?type=3,,,Photos from Henry S. Oaminal's post,,,,,1.18
NUEVA VIZCAYA TROPANG MAY PUSO,,796185450488218,none,,,2020-03-07 15:23:18 SGT,N/A,N/A,2018-10-03 22:59:10 SGT,2018-10-03,22:59:10,Link,393,309,18,13,36,17,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/796185450488218/permalink/1616640525109369,Congw banti cuaresma successfully defended d 2019 budget of d dilg family,http://www.congress.gov.ph/photojournal/zoom.php?photoid=1715,,,House of Representatives,"Interior and Local Government Secretary Eduardo Año and Philippine National Police Chief Director-General Oscar Albayalde stand behind Committee on Appropriations Vice Chairperson Luisa Lloren Cuaresma (Lone District, Nueva Vizcaya) as she defend the P223 billion proposed budget of the Department o...",,,,3.67
Chicharon Bulacan,balitangmalutong,1067215236795880,BUSINESS & ECONOMY WEBSITE,PH,Business & Economy Website,2021-01-14 11:37:18 SGT,3203,3264,2021-02-24 13:06:27 SGT,2021-02-24,13:06:27,Photo,389,303,57,29,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1067215236795880/posts/1634694940047904,"NEWS ALERT! The House Committee on People’s Participation chaired by San Jose Del Monte City Rep. Florida Robes held an online discussion Thursday with the Russian Federation Embassy for an update on the status of Russia’s vaccine for COVID-19. In her opening remarks, Robes said achieving the goal of immunizing Filipinos against the COVID-19 disease to definite courses of government action has become more imperative not only for the country to recover from the economic slump but to save lives as well. She stressed the importance of people’s participation in the COVID-19 vaccination program. “Dahil ang people’s participation ay naguugnay sa lahat ng klase ng tao, mayaman man o mahirap, at higit sa lahat, ang civil society o ang nasa gobyerno,” she said. #WorkingCongresswoman https://www.congress.gov.ph/photojournal/zoom.php?photoid=2846 ctto",https://www.facebook.com/balitangmalutong/photos/a.1390867544430646/1634694690047929/?type=3,,"PANEL UPDATED ON RUSSIAN VACCINE FOR COVID-19 04:42:33 ay mayaman civil Participation ng tao, lahat, gobyerno.' klase sa People's lahat at ang ng higit nasa ""Dahilang Ûe man mahirap, society Florida February House Committee People's Participation chaired San Jose Del Monte City Rep. Florida Robes held online discussion Thursday the Russian Federation update status Russia's vaccine opening remarks, Robes said achieving goal immunizing against the COVID-19 disease definite action has become only from economic slump but lives well. She stressed people's participation the COVID-19 program. ang people's participation naguugnay lahat klase mahirap, ahat, society nasa she said. Robes also",,,,,,-1.17
